"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FPHQQ7V8","conferencePaper","2011","Bjarnason, Elizabeth; Wnuk, Krzysztof; Regnell, Björn","A case study on benefits and side-effects of agile practices in large-scale requirements engineering","Proceedings of the 1st Workshop on Agile Requirements Engineering","978-1-4503-0890-8","","10.1145/2068783.2068786","https://doi.org/10.1145/2068783.2068786","In the software industry, there is a strong shift from traditional phase-based development towards agile methods and practices. This paper reports on a case study aimed at investigating if, and how, agile Requirements Engineering (RE) can remedy the challenges of traditional RE, and what new challenges agile RE may pose. The results from an initial case study with 9 practitioners from a large software development company, which is transitioning towards agile-inspired processes, show that agile practices address some RE challenges such as communication gaps and overscoping, but also cause new challenges, such as striking a good balance between agility and stability, and ensuring sufficient competence in cross-functional development teams.","2011-07-26","2023-05-03 15:19:03","2023-05-03 15:19:03","2023-05-03","1–5","","","","","","","AREW '11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\gabra\Zotero\storage\CCTXGCKN\Bjarnason et al. - 2011 - A case study on benefits and side-effects of agile.pdf","","","requirements engineering; agile; case study; empirical study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCP6YRUV","conferencePaper","2016","Elghariani, Kaiss; Kama, Nazri","Review on Agile requirements engineering challenges","2016 3rd International Conference on Computer and Information Sciences (ICCOINS)","","","10.1109/ICCOINS.2016.7783267","","The popularity of agile methodology has been increased since agile offers further collaboration. Requirements engineering (RE) is one of the software development process in agile approaches. The features of face to face communication is one of agile way which unlike to other traditional software methods. Software developers are using the definition agile way to improve the agile way of activities. Besides, the challenge of dealing with RE practices is not much is known in agile way or model. However, many literature works have been done in RE in agile approaches and challenges faced by teamwork. The aim of this paper is to fill the gap by presenting RE practices in agile methodology also the challenges of RE activities which are faced by agile team members. 80 systematic literature reviews are conducted and 22 research papers are identified. Moreover, the reviews discuss RE in agile methodology approaches. This paper has adopted a systematic literature review and has applied a certain inclusion and exclusion criteria to detect the research studies related to RE in agile methodology to achieve the aim of this research. This research determined most of agile requirements engineering activities, also challenges of requirements engineering in agile methodology. Therefore, the research findings can be a reference to all researchers who are interested in this research area because the paper's findings clarify that RE in agile methodology need to have further attention by researchers and more practical results are needed to gain understandable information about RE practices in Agile methodology.","2016-08","2023-05-03 15:19:30","2023-05-03 15:19:30","","507-512","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","Collaboration; Agile methodology; agile requirements engineering; Bibliographies; Databases; Requirements engineering; Search problems; Software; systematic review; Systematics; Teamwork; traditional requirements engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 3rd International Conference on Computer and Information Sciences (ICCOINS)","","","","","","","","","","","","","","",""
"SZWSV3WS","conferencePaper","2017","Kasauli, Rashidah; Liebel, Grischa; Knauss, Eric; Gopakumar, Swathi; Kanagwa, Benjamin","Requirements Engineering Challenges in Large-Scale Agile System Development","2017 IEEE 25th International Requirements Engineering Conference (RE)","","","10.1109/RE.2017.60","","Motivated by their success in software development, companies implement agile methods and their practices increasingly for software-intense, large products, such as cars, telecommunication infrastructure, and embedded systems. Such systems are usually subject to safety and regulative concerns as well as different development cycles of hardware and software. Consequently, requirements engineering involves upfront and detailed analysis, which can be at odds with agile (software) development. In this paper, we present results from a multiple case study with two car manufacturers, a telecommunications company, and a technology company that are on the journey to introduce organization wide continuous integration and continuous delivery to customers. Based on 20 qualitative interviews, 5 focus groups, and 2 cross-company workshops, we discuss possible scopes of agile methods within system development, the consequences this has on the role of requirements, and the challenges that arise from the interplay of requirements engineering and agile methods in large-scale system development. These relate in particular to communicating and managing knowledge about a) customer value and b) the system under development. We conclude that better alignment of a holistic requirements model with agile development practices promises rich gains in development speed, flexibility, and overall quality of software and systems.","2017-09","2023-05-03 15:19:31","2023-05-03 15:19:31","","352-361","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2332-6441","","","","","requirements engineering; Software; Automotive engineering; Companies; Conferences; Interviews; large-scale agile; Large-scale systems; system engineering; Telecommunications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 IEEE 25th International Requirements Engineering Conference (RE)","","","","","","","","","","","","","","",""
"NH7DR6DE","journalArticle","2018","Ochodek, Mirosław; Kopczyńska, Sylwia","Perceived importance of agile requirements engineering practices – A survey","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2018.05.012","https://www.sciencedirect.com/science/article/pii/S0164121218300955","Context:Requirements Engineering (RE) is one of the key processes in software development. Since Agile software development advocates continuous improvement, the question arises which Agile RE practices are the most essential and shall be adopted/improved at first? Objective:Investigate and rank the Agile RE practices based on how practitioners perceive their importance for a software project. Method:We conducted a survey asking 136 Agile software development practitioners how they perceive the importance of the 31 Agile RE practices that we had identified in a literature study. We used a ranking method based on the PROMETHEE family methods to create the ranking of relative importance of the practices. Results:The opinions of respondents from a wide range of countries around the globe allowed us to determine the perceived importance of the Agile RE practices and create a seven-tier ranking of the practices. Moreover, the analysis concerning demographic data let us identify some relationships between the experience of the respondents and their view on the importance of the Agile RE practices. Conclusions:Our findings suggest the most critical Agile RE practices are those supporting iterative development with emergent requirements and short feedback loop. Moreover, in many cases, the perceived importance of practices seems to depend on the context of the project (e.g., methodology, domain). We also learned that the popularity of the practices is highly correlated with their perceived importance.","2018-09-01","2023-05-03 15:19:32","2023-05-03 15:19:32","2023-05-03 15:19:31","29-43","","","143","","Journal of Systems and Software","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\gabra\Zotero\storage\NBGXHE5P\S0164121218300955.html","","","Requirements engineering; Agile; Importance; Practices; Survey study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7TFB3SNL","bookSection","2005","Sillitti, Alberto; Succi, Giancarlo","Requirements Engineering for Agile Methods","Engineering and Managing Software Requirements","978-3-540-28244-0","","","https://doi.org/10.1007/3-540-28244-0_14","Collecting, understanding, and managing requirements is a critical aspect in all development methods. This is true for Agile Methods as well. In particular, several agile practices deal with requirements in order to implement them correctly and satisfy the needs of the customer. These practices focus on a continuous interaction with the customer to address the requirements evolution over time, prioritize them, and deliver the most valuable functionalities first. This chapter introduces Agile Methods as the implementation of the principles of the lean production in software development. Therefore, Agile Methods focus on continuous process improvement through the identification and the removal of waste, whatever does not add value for the customer.","2005","2023-05-03 15:19:50","2023-05-03 15:19:50","2023-05-03 15:19:50","309-326","","","","","","","","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","DOI: 10.1007/3-540-28244-0_14","","","","","Agile methods; Lean management; Process management; Requirements management; Variability management","Aurum, Aybüke; Wohlin, Claes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWVKLVQF","journalArticle","2010","Ramesh, Balasubramaniam; Cao, Lan; Baskerville, Richard","Agile requirements engineering practices and challenges: an empirical study","Information Systems Journal","","1365-2575","10.1111/j.1365-2575.2007.00259.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2575.2007.00259.x","This paper describes empirical research into agile requirements engineering (RE) practices. Based on an analysis of data collected in 16 US software development organizations, we identify six agile practices. We also identify seven challenges that are created by the use of these practices. We further analyse how this collection of practices helps mitigate some, while exacerbating other risks in RE. We provide a framework for evaluating the impact and appropriateness of agile RE practices by relating them to RE risks. Two risks that are intractable by agile RE practices emerge from the analysis. First, problems with customer inability and a lack of concurrence among customers significantly impact agile development. Second, risks associated with the neglecting non-functional requirements such as security and scalability are a serious concern. Developers should carefully evaluate the risk factors in their project environment to understand whether the benefits of agile RE practices outweigh the costs imposed by the challenges.","2010","2023-05-03 15:19:54","2023-05-03 15:19:54","2023-05-03 15:19:54","449-480","","5","20","","","Agile requirements engineering practices and challenges","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2575.2007.00259.x","","C:\Users\gabra\Zotero\storage\Q9A5X4VI\j.1365-2575.2007.00259.html","","","agile software development; requirements engineering; agile practices; requirements engineering risks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSPT99QW","conferencePaper","2015","Käpyaho, Marja; Kauppinen, Marjo","Agile requirements engineering with prototyping: A case study","2015 IEEE 23rd International Requirements Engineering Conference (RE)","","","10.1109/RE.2015.7320450","","The rise of agile software development methods has led to the abandonment of many traditional practices especially in requirements engineering (RE). Agile RE is still a relatively new research area and the growing use of agile methods in large projects is forcing companies to look for more formal practices for RE. This paper describes experiences gained from a case study of a large agile project. The goal of this case study was to explore how prototyping can solve the challenges of agile RE. Our findings indicate that while prototyping can help with some challenges of agile RE such as lack of documentation, motivation for RE work and poor quality communication, it also needs complementary practices to reach its full potential. These practices include reviewing the big picture regularly, keeping track of quality requirements, and using ATDD (Acceptance Test Driven Development).","2015-08","2023-05-03 15:20:15","2023-05-03 15:20:15","","334-343","","","","","","Agile requirements engineering with prototyping","","","","","","","","","","","","IEEE Xplore","","ISSN: 2332-6441","","","","","requirements engineering; Documentation; Agile software development; Software; Companies; Interviews; agility; good practices; Prototypes; prototyping; RE process","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 IEEE 23rd International Requirements Engineering Conference (RE)","","","","","","","","","","","","","","",""
"GQYAEU83","conferencePaper","2009","Adikari, Sisira; McDonald, Craig; Campbell, John","Little Design Up-Front: A Design Science Approach to Integrating Usability into Agile Requirements Engineering","Human-Computer Interaction. New Trends","978-3-642-02574-7","","10.1007/978-3-642-02574-7_62","","In recent years, Design Science has gained wide recognition and acceptance as a formal research method in many disciplines including information systems. Design Science research in Human-Computer Interaction is not so abundant. HCI is a discipline primarily focusing on design, evaluation, and implementation where design plays the role as a process as well as an artefact. In this paper, we present a design science approach using “Little Design Up Front” to integrate the User-Centred Design perspective into Agile Requirements Engineering. We also present the results of two agile projects to validate the proposition that incorporating UCD perspective into Agile Software Development improves the design quality of software systems.","2009","2023-05-03 15:20:15","2023-05-03 15:20:15","","549-558","","","","","","Little Design Up-Front","Lecture Notes in Computer Science","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","","","C:\Users\gabra\Zotero\storage\BK2VXTN2\Adikari et al. - 2009 - Little Design Up-Front A Design Science Approach .pdf","","","Agile Requirements Engineering; Design Science; Usability","Jacko, Julie A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTV45MGR","conferencePaper","2010","Savolainen, Juha; Kuusela, Juha; Vilavaara, Asko","Transition to Agile Development - Rediscovery of Important Requirements Engineering Practices","2010 18th IEEE International Requirements Engineering Conference","","","10.1109/RE.2010.41","","Many organizations have started to use agile development processes to speed up the development cycle and to improve the ability of the company in reacting to changing requirements. Adopting agile practices may happen as a revolution where all old practices are removed or as a more gradual process. In this paper, we discuss lessons learnt in two agile transition processes. Based on our experience, agile processes can be used in embedded software development for products. The challenges include the varying size of user requirements, the role of system requirements, and architecturally significant requirements. It is difficult for large organizations to be agile. Work allocation for a large number of different teams with different competencies tends to decrease speed, and increase the role of design and management. We conclude that agile development in this context needs very skilled developers and has to be a combination of new and old practices.","2010-09","2023-05-03 15:20:19","2023-05-03 15:20:19","","289-294","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2332-6441","","","","","Programming; requirements engineering; Software; Companies; agility; best practices; Computer architecture; Hardware; Software architecture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010 18th IEEE International Requirements Engineering Conference","","","","","","","","","","","","","","",""
"9ZJYGHRF","journalArticle","2011","Rubin, Eran; Rubin, Hillel","Supporting agile software development through active documentation","Requirements Engineering","","1432-010X","10.1007/s00766-010-0113-9","https://doi.org/10.1007/s00766-010-0113-9","Agile development processes are adaptive rather than predictive. Therefore, agile processes emphasize operational system code rather than its documentation. To overcome the absence of comprehensive documentation artifacts, agile methods require constant interaction between the system stakeholders. Ironically, however, some traditional documentation artifacts come to support this kind of interaction. In this study, we examine the relationship between software and documentation. We develop an approach that enables incorporating domain documentation to agile development, while keeping the processes adaptive. We also provide a system design that actively uses domain knowledge documentation. These ideas have been applied through the implementation and use of agile documentation support components.","2011-06-01","2023-05-03 15:20:32","2023-05-03 15:20:32","2023-05-03 15:20:32","117-132","","2","16","","Requirements Eng","","","","","","","","en","","","","","Springer Link","","","","","","","Requirements engineering; Agile documentation; Conceptual modeling; Domain knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYKK8NQZ","journalArticle","2014","Belsis, Petros; Koutoumanos, Anastasios; Sgouropoulou, Cleo","PBURC: a patterns-based, unsupervised requirements clustering framework for distributed agile software development","Requirements Engineering","","1432-010X","10.1007/s00766-013-0172-9","https://doi.org/10.1007/s00766-013-0172-9","Agile software development methodologies are increasingly adopted by organizations because they focus on the client’s needs, thus safeguarding business value for the final product. At the same time, as the economy and society move toward globalization, more organizations shift to distributed development of software projects. From this perspective, while adopting agile techniques seems beneficial, there are still a number of challenges that need to be addressed; among these notable is the effective cooperation between the stakeholders and the geographically distributed development team. In addition, data collection and validation for requirements engineering demands efficient processing techniques in order to handle the volume of data as well as to manage different inconsistencies, when the data are collected using online tools. In this paper, we present “PBURC,” a patterns-based, unsupervised requirements clustering framework, which makes use of machine-learning methods for requirements validation, being able to overcome data inconsistencies and effectively determine appropriate requirements clusters for optimal definition of software development sprints.","2014-06-01","2023-05-03 15:20:37","2023-05-03 15:20:37","2023-05-03 15:20:37","213-225","","2","19","","Requirements Eng","PBURC","","","","","","","en","","","","","Springer Link","","","","","","","Requirements engineering; Agile software process; Distributed software development; Requirements clustering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKMNAHIN","journalArticle","2021","Kasauli, Rashidah; Knauss, Eric; Horkoff, Jennifer; Liebel, Grischa; de Oliveira Neto, Francisco Gomes","Requirements engineering challenges and practices in large-scale agile system development","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2020.110851","https://www.sciencedirect.com/science/article/pii/S0164121220302417","Context: Agile methods have become mainstream even in large-scale systems engineering companies that need to accommodate different development cycles of hardware and software. For such companies, requirements engineering is an essential activity that involves upfront and detailed analysis which can be at odds with agile development methods. Objective: This paper presents a multiple case study with seven large-scale systems companies, reporting their challenges, together with best practices from industry. We also analyze literature about two popular large-scale agile frameworks, SAFe® and LeSS, to derive potential solutions for the challenges. Methods: Our results are based on 20 qualitative interviews, five focus groups, and eight cross-company workshops which we used to both collect and validate our results. Results: We found 24 challenges which we grouped in six themes, then mapped to solutions from SAFe®, LeSS, and our companies, when available. Conclusion: In this way, we contribute a comprehensive overview of RE challenges in relation to large-scale agile system development, evaluate the degree to which they have been addressed, and outline research gaps. We expect these results to be useful for practitioners who are responsible for designing processes, methods, or tools for large scale agile development as well as guidance for researchers.","2021-02-01","2023-05-03 15:20:39","2023-05-03 15:20:39","2023-05-03 15:20:39","110851","","","172","","Journal of Systems and Software","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\gabra\Zotero\storage\EFXELEP9\Kasauli et al. - 2021 - Requirements engineering challenges and practices .pdf","","","Requirements engineering; Large-scale agile; Systems engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
